Monthly subscription fee: >$30 and ≤$100
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                               Monthly fee     Served model         Monthly tokens (B)  USD/MTok  Confidence
25   Kimi Allegro †                     $99 · CN ¥699   Kimi K3              4.353               0.02274   medium
26   Ollama Max                         USD 100         MiniMax M2.7         4.3384              0.02305   medium
27   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.6 Flash      4.065               0.0123    medium
28   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.5            4.065               0.0123    medium
29   GLM Coding Pro (v3 ¥538) Peak      CNY 538         GLM 5.3 Flash        3.85                0.02061   high
30   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.6 Flash      3.252               0.01538   medium
31   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.5            3.252               0.01538   medium
32   MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.6 Pro        3.22                0.03106   medium
33   MiMo Token Plan Max (Night 0.8x)   $100 · CN ¥659  MiMo V2.5 Pro        3.22                0.03106   medium
34   ChatGPT Pro 5x                     USD 100         GPT 5.6 Sol          3.08                0.03247   medium
35   GLM Coding Max (v2 ¥469) Peak      CNY 469         GLM 5.3              2.963               0.02335   high
36   SuperGrok Plus                     USD 100         Grok 4.7             2.69                0.03717   medium
37   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.6 Pro        2.576               0.03882   medium
38   MiMo Token Plan Max (Day)          $100 · CN ¥659  MiMo V2.5 Pro        2.576               0.03882   medium
39   GLM Coding Pro (v3 ¥538) Off-peak  CNY 538         GLM 5.3              2.54                0.03125   high
40   ChatGPT Pro 5x                     USD 100         GPT 5.5              2.4024              0.04163   medium
41   Ollama Max                         USD 100         MiniMax M3           2.1692              0.0461    medium
42   Cursor Pro+                        USD 60          Grok 4.6             2.0632              0.02908   medium
43   SuperGrok Plus                     USD 100         Grok 4.6             2.04                0.04902   medium
44   GLM Coding Pro (v3 ¥538) Midpoint  CNY 538         GLM 5.3              1.905               0.04166   high
45   Cursor Pro+ (Composer Fast)        USD 60          Composer 2.5         1.8823              0.03188   low
46   Kimi Allegretto †                  $39 · CN ¥199   Kimi K2.7 Code       1.568               0.02487   medium
47   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.6 Pro        1.492               0.03351   medium
48   MiMo Token Plan Pro (Night 0.8x)   $50 · CN ¥329   MiMo V2.5 Pro        1.492               0.03351   medium
49   Kimi Allegretto †                  $39 · CN ¥199   Kimi K3              1.451               0.02688   medium
50   Ollama Max                         USD 100         Kimi K2.7 Code       1.3657              0.07322   medium
51   Ollama Max                         USD 100         GLM 5.1              1.3175              0.0759    medium
52   GLM Coding Pro (v3 ¥538) Peak      CNY 538         GLM 5.3              1.27                0.06249   high
53   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.6 Pro        1.194               0.04188   medium
54   MiMo Token Plan Pro (Day)          $50 · CN ¥329   MiMo V2.5 Pro        1.194               0.04188   medium
55   Ollama Max                         USD 100         GLM 5.3              1.0033              0.09967   medium
56   Ollama Max                         USD 100         GLM 5.2              1.0033              0.09967   medium
57   Claude Max 5x (9/14+)              USD 100         Claude Fable 5       0.9235              0.10828   low
58   ChatGPT Pro 5x                     USD 100         GPT-6 Astra          0.91                0.10989   low
59   Claude Max 5x (9/14+)              USD 100         Claude Fable 5.1     0.8639              0.11575   low
60   Ollama Max                         USD 100         Kimi K3              0.7326              0.1365    medium
61   Alibaba Cloud Coding Plan Pro      USD 50          Qwen3.7 Plus         0.198               0.25253   low
